ts_utc,signal_id,symbol,side,notional_usdt,ref_price,fill_price,slippage_pct,mode,status,reason
2026-06-16T22:19:33.648753+00:00,c850f45ba68e9df1,LINK/USDT,buy,5.0,8.314,,,REAL,skipped,relay/segredo nao configurado
2026-06-16T22:24:50.966427+00:00,c850f45ba68e9df1,LINK/USDT,buy,5.0,8.314,,,REAL,skipped,relay/segredo nao configurado
2026-06-16T22:30:06.918121+00:00,c850f45ba68e9df1,LINK/USDT,buy,5.0,8.314,,,REAL,skipped,relay/segredo nao configurado
2026-06-16T22:35:27.949832+00:00,c850f45ba68e9df1,LINK/USDT,buy,5.0,8.314,,,REAL,rejected_by_exchange,INVALID_PARAM_VALUE
2026-06-16T22:40:46.961434+00:00,c850f45ba68e9df1,LINK/USDT,buy,5.0,8.314,,,REAL,duplicate,signal_id ja processado
2026-06-16T22:50:30.472521+00:00,c850f45ba68e9df1,LINK/USDT,buy,5.0,8.314,,,REAL,duplicate,signal_id ja processado
2026-06-17T18:02:21.202292+00:00,741043b46116bf3b,AAVE/USDT,buy,5.0,77.04,76.13,,REAL,filled,
2026-06-17T18:07:37.323392+00:00,741043b46116bf3b,AAVE/USDT,buy,5.0,77.04,,,REAL,duplicate,signal_id ja processado
2026-06-17T18:12:56.539058+00:00,741043b46116bf3b,AAVE/USDT,buy,5.0,77.04,,,REAL,duplicate,signal_id ja processado
2026-06-17T18:18:18.259910+00:00,741043b46116bf3b,AAVE/USDT,buy,5.0,77.04,,,REAL,duplicate,signal_id ja processado
2026-06-17T18:23:36.661640+00:00,741043b46116bf3b,AAVE/USDT,buy,5.0,77.04,,,REAL,duplicate,signal_id ja processado
2026-06-17T18:28:56.331742+00:00,741043b46116bf3b,AAVE/USDT,buy,5.0,77.04,,,REAL,duplicate,signal_id ja processado
2026-06-17T18:34:12.689356+00:00,741043b46116bf3b,AAVE/USDT,buy,5.0,77.04,,,REAL,duplicate,signal_id ja processado
2026-06-17T18:39:36.848932+00:00,741043b46116bf3b,AAVE/USDT,buy,5.0,77.04,,,REAL,duplicate,signal_id ja processado
2026-06-17T18:45:00.973103+00:00,741043b46116bf3b,AAVE/USDT,buy,5.0,77.04,,,REAL,duplicate,signal_id ja processado
2026-06-17T18:50:18.008636+00:00,741043b46116bf3b,AAVE/USDT,buy,5.0,77.04,,,REAL,duplicate,signal_id ja processado
2026-06-17T18:55:41.118213+00:00,741043b46116bf3b,AAVE/USDT,buy,5.0,77.04,,,REAL,duplicate,signal_id ja processado
2026-06-19T17:07:52.743642+00:00,71342ff30e073a30,TRX/USDT,buy,5.0,0.32219,0.3222,,REAL,filled,
2026-06-19T17:13:09.939861+00:00,71342ff30e073a30,TRX/USDT,buy,5.0,0.32219,,,REAL,duplicate,signal_id ja processado
2026-06-19T17:22:51.195078+00:00,71342ff30e073a30,TRX/USDT,buy,5.0,0.32219,,,REAL,duplicate,signal_id ja processado
2026-06-19T17:28:06.729143+00:00,71342ff30e073a30,TRX/USDT,buy,5.0,0.32219,,,REAL,duplicate,signal_id ja processado
2026-06-19T17:37:47.090487+00:00,71342ff30e073a30,TRX/USDT,buy,5.0,0.32219,,,REAL,duplicate,signal_id ja processado
2026-06-19T17:47:17.517776+00:00,71342ff30e073a30,TRX/USDT,buy,5.0,0.32219,,,REAL,duplicate,signal_id ja processado
2026-06-19T17:57:01.657201+00:00,71342ff30e073a30,TRX/USDT,buy,5.0,0.32219,,,REAL,duplicate,signal_id ja processado
2026-06-20T11:06:29.206116+00:00,1545c6b29b8e9e62,TRX/USDT,buy,5.0,0.3242,0.32416,,REAL,filled,
2026-06-20T11:16:07.120483+00:00,1545c6b29b8e9e62,TRX/USDT,buy,5.0,0.3242,,,REAL,duplicate,signal_id ja processado
2026-06-20T11:25:49.441367+00:00,1545c6b29b8e9e62,TRX/USDT,buy,5.0,0.3242,,,REAL,duplicate,signal_id ja processado
2026-06-20T11:35:31.555283+00:00,1545c6b29b8e9e62,TRX/USDT,buy,5.0,0.3242,,,REAL,duplicate,signal_id ja processado
2026-06-20T11:45:17.751495+00:00,1545c6b29b8e9e62,TRX/USDT,buy,5.0,0.3242,,,REAL,duplicate,signal_id ja processado
2026-06-20T11:54:53.841892+00:00,1545c6b29b8e9e62,TRX/USDT,buy,5.0,0.3242,,,REAL,duplicate,signal_id ja processado
2026-06-20T22:03:46.509898+00:00,786bbd5fecb4dfc6,ETH/USDT,buy,5.0,1735.42,1734.65,,REAL,filled,
2026-06-20T22:03:46.903511+00:00,563de52f21144cc7,SOL/USDT,buy,5.0,72.4,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T22:13:24.750325+00:00,786bbd5fecb4dfc6,ETH/USDT,buy,5.0,1735.42,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T22:13:25.253933+00:00,563de52f21144cc7,SOL/USDT,buy,5.0,72.4,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T22:23:00.440400+00:00,786bbd5fecb4dfc6,ETH/USDT,buy,5.0,1735.42,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T22:23:00.834517+00:00,563de52f21144cc7,SOL/USDT,buy,5.0,72.4,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T22:32:37.478303+00:00,786bbd5fecb4dfc6,ETH/USDT,buy,5.0,1735.42,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T22:32:37.867935+00:00,563de52f21144cc7,SOL/USDT,buy,5.0,72.4,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T22:42:16.690392+00:00,786bbd5fecb4dfc6,ETH/USDT,buy,5.0,1735.42,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T22:42:17.282006+00:00,563de52f21144cc7,SOL/USDT,buy,5.0,72.4,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T22:51:58.072659+00:00,786bbd5fecb4dfc6,ETH/USDT,buy,5.0,1735.42,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T22:51:58.468457+00:00,563de52f21144cc7,SOL/USDT,buy,5.0,72.4,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T22:57:10.936830+00:00,786bbd5fecb4dfc6,ETH/USDT,buy,5.0,1735.42,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T22:57:11.373534+00:00,563de52f21144cc7,SOL/USDT,buy,5.0,72.4,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T23:06:51.344731+00:00,cf386c22760410e7,AAVE/USDT,buy,5.0,76.61,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T23:16:32.844107+00:00,cf386c22760410e7,AAVE/USDT,buy,5.0,76.61,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T23:26:12.415322+00:00,cf386c22760410e7,AAVE/USDT,buy,5.0,76.61,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T23:35:43.692855+00:00,cf386c22760410e7,AAVE/USDT,buy,5.0,76.61,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T23:45:15.517820+00:00,cf386c22760410e7,AAVE/USDT,buy,5.0,76.61,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-20T23:54:53.109826+00:00,cf386c22760410e7,AAVE/USDT,buy,5.0,76.61,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-21T23:03:40.037065+00:00,6ca05cbb05f2a973,TRX/USDT,buy,5.0,0.32817,0.32816,,REAL,filled,
2026-06-21T23:13:18.691784+00:00,6ca05cbb05f2a973,TRX/USDT,buy,5.0,0.32817,,,REAL,duplicate,signal_id ja processado
2026-06-21T23:18:33.824779+00:00,6ca05cbb05f2a973,TRX/USDT,buy,5.0,0.32817,,,REAL,duplicate,signal_id ja processado
2026-06-21T23:28:15.953117+00:00,6ca05cbb05f2a973,TRX/USDT,buy,5.0,0.32817,,,REAL,duplicate,signal_id ja processado
2026-06-21T23:37:55.695753+00:00,6ca05cbb05f2a973,TRX/USDT,buy,5.0,0.32817,,,REAL,duplicate,signal_id ja processado
2026-06-21T23:47:34.464270+00:00,6ca05cbb05f2a973,TRX/USDT,buy,5.0,0.32817,,,REAL,duplicate,signal_id ja processado
2026-06-21T23:52:50.958403+00:00,6ca05cbb05f2a973,TRX/USDT,buy,5.0,0.32817,,,REAL,duplicate,signal_id ja processado
2026-06-22T03:06:00.972051+00:00,c33c6496b64d16db,BTC/USDT,buy,5.0,64258.6,64133.1,,REAL,filled,
2026-06-22T03:11:16.658173+00:00,c33c6496b64d16db,BTC/USDT,buy,5.0,64258.6,,,REAL,duplicate,signal_id ja processado
2026-06-22T03:21:02.381142+00:00,c33c6496b64d16db,BTC/USDT,buy,5.0,64258.6,,,REAL,duplicate,signal_id ja processado
2026-06-22T03:30:38.875776+00:00,c33c6496b64d16db,BTC/USDT,buy,5.0,64258.6,,,REAL,duplicate,signal_id ja processado
2026-06-22T03:35:56.212222+00:00,c33c6496b64d16db,BTC/USDT,buy,5.0,64258.6,,,REAL,duplicate,signal_id ja processado
2026-06-22T03:41:10.853655+00:00,c33c6496b64d16db,BTC/USDT,buy,5.0,64258.6,,,REAL,duplicate,signal_id ja processado
2026-06-22T03:50:49.311680+00:00,c33c6496b64d16db,BTC/USDT,buy,5.0,64258.6,,,REAL,duplicate,signal_id ja processado
2026-06-22T04:00:30.573939+00:00,c33c6496b64d16db,BTC/USDT,buy,5.0,64258.6,,,REAL,duplicate,signal_id ja processado
2026-06-22T06:03:02.519534+00:00,cecd04867f1eb349,BTC/USDT,buy,5.0,64243.6,64201.6,,REAL,filled,
2026-06-22T06:08:15.323667+00:00,cecd04867f1eb349,BTC/USDT,buy,5.0,64243.6,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-22T06:13:33.205500+00:00,cecd04867f1eb349,BTC/USDT,buy,5.0,64243.6,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-22T06:18:51.439944+00:00,cecd04867f1eb349,BTC/USDT,buy,5.0,64243.6,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-22T06:24:09.494973+00:00,cecd04867f1eb349,BTC/USDT,buy,5.0,64243.6,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-22T06:33:49.697173+00:00,cecd04867f1eb349,BTC/USDT,buy,5.0,64243.6,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-22T06:43:31.786915+00:00,cecd04867f1eb349,BTC/USDT,buy,5.0,64243.6,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-22T06:53:12.648503+00:00,cecd04867f1eb349,BTC/USDT,buy,5.0,64243.6,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-22T13:07:12.958651+00:00,ce3042c3bccf2d85,SOL/USDT,buy,5.0,74.42,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-22T13:16:59.477226+00:00,ce3042c3bccf2d85,SOL/USDT,buy,5.0,74.42,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
2026-06-22T13:22:12.393423+00:00,ce3042c3bccf2d85,SOL/USDT,buy,5.0,74.42,,,REAL,blocked_by_guard,limite de posicoes abertas atingido (2)
